Word,NPhon,NMorph,NSyll
Whitsuntides,10,4,3
WHITTAKER,7,1,3
WHITTIER,5,NA,3
WHITTIER'S,9,4,3
whittled,6,2,2
whittler,6,2,3
whittlers,7,3,3
whittles,6,2,2
whittling,7,2,3
whizzes,6,2,2
whodunits,8,4,3
WHODUNNIT,7,3,3
wholesaler,7,3,3
wholesomeness,8,3,3
whooped,5,2,1
whoops,5,2,1
whooshes,6,2,2
whop,4,1,1
whopped,5,2,1
whops,5,2,1
whorehouses,8,3,3
whoremongers,9,3,3
whorled,5,NA,1
whortleberries,10,NA,4
whortleberry,9,NA,4
whoso,4,2,2
WHY'N,NA,NA,NA
WHYFORES,NA,NA,NA
WHYN'T,NA,NA,NA
whys,4,2,1
wickeder,6,2,3
wickedest,8,2,3
WICKHAM,5,2,2
wicks,4,2,1
WIDEGRIP,7,2,2
WIDENER,5,3,3
widening,6,3,3
wides,4,2,1
widgeon,5,1,2
widgeons,6,2,2
widowers,6,3,2
WIDSITH,NA,NA,NA
WIDTHWISE,7,3,2
WIEDERUM,NA,NA,NA
WIELAND,6,NA,2
wielders,6,3,2
wielding,6,2,2
wields,5,2,1
wifelier,6,3,3
wifeliest,8,NA,3
wigged,4,2,1
wigging,5,2,2
wiggings,6,3,2
wiggler,5,2,3
wigglers,6,3,3
wiggles,5,2,2
wight,3,1,1
wights,4,2,1
wigs,4,2,1
wigwams,7,2,2
WIL,3,NA,1
WILCKE,NA,NA,NA
wilco,NA,NA,NA
WILCOX,7,1,2
wildcats,8,3,2
WILDE,4,1,1
wildebeests,10,2,3
WILDENSTEIN,10,NA,3
WILDER'S,6,NA,2
wildernesses,10,3,4
WILDHACK,7,2,2
wilds,5,2,1
WILEY,4,NA,2
WILFRID,7,1,2
wilful,5,2,2
wilfully,6,3,3
wilfulness,8,3,3
WILHELMINA,10,1,4
wilier,5,3,2
wiliest,7,3,3
WILIGIS,NA,NA,NA
WILKES,5,1,1
WILKEY,5,NA,2
WILKINSON,8,2,3
WILLA,4,1,2
WILLAMETTE,7,NA,3
WILLARD,5,1,2
WILLCOX,7,2,2
WILLEM,5,NA,2
WILLETT,5,1,2
WILLIAM'S,7,2,2
Williams,7,1,2
WILLIAMSON'S,9,3,3
willies,5,1,2
WILLINGE,6,NA,2
WILLINGS,NA,NA,NA
WILLYA,NA,NA,NA
WILMETTE,6,NA,2
WILMINGTON,9,2,3
WILSHIRE,6,2,2
wilting,6,2,2
Wilton,5,2,2
Wiltons,6,3,2
wilts,5,2,1
Wimpies,6,NA,2
wimple,5,1,2
wimples,6,2,2
Wimpy,5,2,2
WIMSATT,6,NA,2
winces,6,2,2
wincey,5,NA,2
winceyette,7,NA,3
winch,4,1,1
winched,5,2,1
WINCHELL,6,NA,2
winching,6,2,2
windbags,8,3,2
windbreakers,10,4,3
windcheater,8,3,3
windcheaters,9,4,3
windfalls,8,3,2
WINDHAM,6,2,2
windier,6,3,2
windiest,8,3,3
windily,7,3,3
windiness,8,3,3
windjammers,9,4,3
windlass,7,1,2
windlasses,9,2,3
windmills,8,3,2
windowsills,9,3,3
windpipe,7,2,2
windpipes,8,3,2
windscreens,10,3,2
windshields,9,3,2
windsleeves,9,NA,2
windsocks,8,3,2
windstorms,10,3,2
winebibber,7,NA,3
winebibbers,8,NA,3
winebibbing,8,NA,3
wineglasses,9,3,3
WINEHEAD,6,2,2
winepresses,9,3,3
wineskins,8,3,2
WINFIELD,7,2,2
wingers,5,3,2
wingspans,8,3,2
wingspreads,9,3,2
winkers,6,3,2
winkle,5,1,2
winkles,6,2,2
winks,5,2,1
WINNETKA,7,NA,3
WINNIPESAUKEE,11,NA,5
winnow,4,1,2
winnowed,5,2,2
winnowing,6,2,3
winnows,5,2,2
